Item,Description,Quantity,Unit Price ($),Total Price ($),URL,Running Total ($ with Tax)
Bearing - 6807 2RS,"Bearings, 47mm OD, 35mm ID, 7mm Thickness. 6pck on aliexpress seemed to be the cheapest price, though that is on sale so if you are reading this and it is no longer on sale anymore, there is an amazon link with a constant 15.99 price, which I actually sourced.",5,N/A,Self-Sourced,"https://www.amazon.com/XIKE-6807-2RS-Bearings-35x47x7mm-Pre-Lubricated/dp/B09D2ZHNPH/ref=sr_1_4?dib=eyJ2IjoiMSJ9.ZzAfdP_VbX8QepO_I6pWmHSu0Qy7Ryg5la8JCgipZrFUZ6EcgzOLDe93yxGKKjMLcg5pY7B3fc-aUtBa3Heh46XVV5KRX38FHD9Zi9DnA4L9JzgpdLhvg3MFvoC1LA5G_RvJK2DyAxmVs8VuNYcNGAVoEh9uXc4snZJ9duCGc6c1S463HJl99tx1OQ0WWsTKAzmjJa3eQVAN5cB6QEUNxP1C49KYRkaY1UgYPcrhRqA.V99ah82ssIbTvXK29m4wziKMs7cQicSE4VbMInqvlaQ&dib_tag=se&keywords=6807%2B2rs%2Bbearing&qid=1768141549&sr=8-4&th=1
https://www.aliexpress.us/item/3256808547952086.html?spm=a2g0o.productlist.main.15.4f792246u1s6Ed&algo_pvid=6e8f2209-d8dd-4355-8b5e-03bb2572f982&algo_exp_id=6e8f2209-d8dd-4355-8b5e-03bb2572f982-14&pdp_ext_f=%7B%22order%22%3A%2257%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%216.00%215.20%21%21%2141.61%2136.06%21%402103274e17681414857097926ef572%2112000046444491472%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198683990&curPageLogUid=aeOEVXLjXg1Q&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008734266838%7C_p_origin_prod%3A",0.00
Microcontroller - ESP32,Most ESP32 variants should do as long as they have 36 or more GPIO pins. In this example I am using an ESP32-S3 N18R8,1,N/A,Self-Sourced,https://www.aliexpress.us/item/3256809776335245.html?spm=a2g0o.productlist.main.4.74db7846Oi03gp&aem_p4p_detail=202601110631204038184452692770010139951&algo_pvid=7180b579-4d44-4fb9-9158-5fb26e46f2ad&algo_exp_id=7180b579-4d44-4fb9-9158-5fb26e46f2ad-3&pdp_ext_f=%7B%22order%22%3A%22348%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%212.29%211.99%21%21%2115.92%2113.84%21%402101c59117681418801827616e5ec3%2112000050714164639%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198192865&curPageLogUid=GRDrdkb15ClS&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005009962649997%7C_p_origin_prod%3A&search_p4p_id=202601110631204038184452692770010139951_1,0.00
"Stepper motor - NEMA-17 size - 200 steps/rev, 12V 350mA","4 Wire, 1.8Deg per Step, with 20 N*cm of torque per phase at a max current of 350mAh (0.35A). RoHS certified. ",5,14.00,70.00,"Stepper motor - NEMA-17 size - 200 steps/rev, 12V 350mA",75.25
Stepper Motor Driver - A4988,"Stepper Motor Driver, 1.2A, 5 Step resolutions, Adjustable maximum current output. Overheat Thermal shutdown and crossover-current protection. Comes in a pack of 5 for the cheapest sourcing price included both amazon link that had a stable price of 10.19. along with an aliexpress link which often goes on sale for cheaper but can sometimes be 13.95. The price listed is the aliexpress link while on sale",5,1.18,5.90,"Amazon.com: A4988 Stepper Motor Driver 
https://www.aliexpress.us/item/3256808219893938.html?spm=a2g0o.productlist.main.1.55eadUShdUShQA&algo_pvid=b8027463-682a-4da5-9792-759aa88e3ade&algo_exp_id=b8027463-682a-4da5-9792-759aa88e3ade-0&pdp_ext_f=%7B%22order%22%3A%22400%22%2C%22eval%22%3A%221%22%2C%22orig_sl_item_id%22%3A%221005008406208690%22%2C%22orig_item_id%22%3A%221005007348183789%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.03%211.93%21%21%2127.96%2113.42%21%4021033d9d17681409534494580ed397%2112000044908792152%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895&curPageLogUid=ozd9t4rogPcP&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008406208690%7C_p_origin_prod%3A1005007348183789",81.59
Buck Converter - 12v to 5v,Buck converter to step down the 12v for the steppers to 5v for the other electronics like the esp and the drivers.,1,1.69,1.69,https://www.aliexpress.us/item/3256805964919227.html?spm=a2g0o.productlist.main.4.364714c5t3uCxG&algo_pvid=197c8437-b8b9-427d-9adf-be24807977e2&aem_p4p_detail=202601110638131884982333900050006684136&algo_exp_id=197c8437-b8b9-427d-9adf-be24807977e2-3&pdp_ext_f=%7B%22order%22%3A%22303%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%211.69%211.69%21%21%2111.74%2111.74%21%4021030a4b17681422935354769ef709%2112000038896346008%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895&curPageLogUid=Vf5B1UHJQ9oe&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005006151233979%7C_p_origin_prod%3A&search_p4p_id=202601110638131884982333900050006684136_1,83.41
Wire Connectors - JST xh 2.54 5Pin 10pcs,"Connectors for the steppers, will allow for much easier building and protoyping",1,2.31,2.31,https://www.aliexpress.us/item/3256808501357728.html?spm=a2g0o.productlist.main.5.7fd84e0bdFbiKN&algo_pvid=d37a2b0d-c870-46c5-a4e4-4ad3f3e49f5a&algo_exp_id=d37a2b0d-c870-46c5-a4e4-4ad3f3e49f5a-4&pdp_ext_f=%7B%22order%22%3A%2261%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%215.13%211.99%21%21%2135.60%2113.83%21%402103212517681426267991109e78e7%2112000049580451654%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198683990&curPageLogUid=yp1VBhINy1jJ&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008687672480%7C_p_origin_prod%3A,85.89
Power Supply - DC12V 5A,"Power Supply for the arm. Comes with EU plug, but I have so many C14 power cables it isnt funny. Should not be a problem.",1,8.32,8.32,https://www.aliexpress.us/item/3256810479010704.html?spm=a2g0o.productlist.main.3.62d83b88NnSSqZ&algo_pvid=b77fbcd7-c729-40ff-9c51-18808e6b1b54&algo_exp_id=b77fbcd7-c729-40ff-9c51-18808e6b1b54-2&pdp_ext_f=%7B%22order%22%3A%2210%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%214.74%212.62%21%21%214.74%212.62%21%4021033d1217681430707121513ed11d%2112000053123918821%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895%3BpisId%3A5000000198927624&curPageLogUid=Aaaj8G0MkgZc&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005010665325456%7C_p_origin_prod%3A,94.83
Extrutions - 150mm 2020 T-slot Extrutions 4pcs,Extrutions for the base of the arm. Will allow for the arm to be mounted almost anywhere or stand alone when the end effector is within a certain radius.,1,17.96,17.96,https://www.aliexpress.us/item/3256808366074196.html?spm=a2g0o.productlist.main.1.b22d4fd6A87Z2I&algo_pvid=3e68f3eb-bb14-4f8c-bfd5-026ca7029f85&algo_exp_id=3e68f3eb-bb14-4f8c-bfd5-026ca7029f85-0&pdp_ext_f=%7B%22order%22%3A%227%22%2C%22eval%22%3A%221%22%2C%22fromPage%22%3A%22search%22%7D&pdp_npi=6%40dis%21USD%2129.00%2114.21%21%21%21201.28%2198.63%21%40210337c117681433635942982e3432%2112000045678685196%21sea%21US%216495142446%21X%211%210%21n_tag%3A-29911%3Bd%3Ac9b5b62%3Bm03_new_user%3A-29895&curPageLogUid=zHtV8X7rHrXA&utparam-url=scene%3Asearch%7Cquery_from%3A%7Cx_object_id%3A1005008552388948%7C_p_origin_prod%3A,114.14
Screws - M4x10 Countersunk,Countersunk M4 screws for connecting the extrutions to Robot Base,4,0.0043,0.02,https://jlcmc.com/product/s/E02/EDLJ/din-7991-gb-t-70.3-hex-socket-countersunk-head-screw,114.16
Screws - M4x16 BHCS,BHCS M4 screws for connecting the extrutions to the base,8,0.0111,0.09,https://jlcmc.com/product/s/E02/EDLG/iso-7380-hex-socket-button-head-screw?k=EDLG-S1-M4-L16&productModelNumber=EDLG-S1-M4-L16,114.26
